Current Entry,Category,New Text
Open (File): Ctrl+O,File,
Import from Ultimate Guitar (File): no shortcut,File,
Save Ultimate Guitar Import As (File): no shortcut,File,
Close (File): Ctrl+F4,File,
Open Local Folder (File): no shortcut,File,
Close Preferences for Current File (File): no shortcut,File,
Exit (File): Exit,File,
Select All (Edit): Ctrl+A,Notes,
Key Signature (Edit): Ctrl+Shift+K,x,
Instruments (Parts): Ctrl+Shift+I,Parts,
Reorder Parts (Parts): Ctrl+Shift+O,Parts,
Solo (Parts): F9,Parts,
Mute (Parts): F8,Parts,
Unsolo All (Parts): Alt+F9,Parts,
Unmute All (Parts): Alt+F8,Parts,
Move to First Note (Navigation): Home,Navigation,
Move to Last Note (Navigation): End,Navigation,
Go to Measure (Navigation): Ctrl+G,Navigation,
Select Section (Navigation): no shortcut,Navigation,
Find (Navigation): Ctrl+F,Navigation,
Find Next (Navigation): Alt+Right,Navigation,
Find Previous (Navigation): Alt+Left,Navigation,
Previous Section (Navigation): Ctrl+Alt+Left,Navigation,
Next Section (Navigation): Ctrl+Alt+Right,Navigation,
Move to Info (Navigation): Z,Quick  nav,
Move to Parts List (Navigation): X,Quick  nav,
Move to Notes (Navigation): C,Quick  nav,
Move to Attributes (Navigation): V,Quick  nav,
Move to Performance (Navigation): B,Quick  nav,
Play/Stop (Playback): Space,Playback,
Pause (Playback): Ctrl+Space,Playback,
Play Metronome (Playback): Ctrl+Alt+Space,Playback,
Play Settings (Playback): Ctrl+Shift+P,Playback,
Cycle Play Mode (Playback): Ctrl+L,Playback,
Toggle Lead-in (Playback): Ctrl+I,Playback,
Cycle Loop Repeat Handling (Playback): Ctrl+R,Playback,
Mixer (Playback): Ctrl+Shift+X,Playback,
UK (Options): no shortcut,Language,
US (Options): no shortcut,Language,
Toggle Bar Line Indicator (Options): Ctrl+B,Orientation,
Toggle Metronome (Options): Ctrl+M,Orientation,
Toggle Position Announcer (Options): Ctrl+P,Orientation,
Toggle Live MIDI Input (Options): Ctrl+D,Options,
Live MIDI Input Settings (Options): Ctrl+Shift+L,Options,
Toggle Voice Control (Options): Alt+Enter,Voice control,
Voice Control Settings (Options): Ctrl+Shift+R,Voice control,
Reorder Attributes (Options): Ctrl+Shift+A,Options,
Set MuseScore Location (Options): no shortcut,Options,
Tuner (Tools): Ctrl+Shift+T,Tools,
Performance Report (Tools): Ctrl+Shift+F,Tools,
Strumming Patterns (Tools): Ctrl+Shift+U,Tools,
Metronome Player (Tools): Ctrl+Shift+M,Tools,
Keyboard Shortcuts (Tools): Ctrl+Shift+Y,Tools,
User Guide (Help): no shortcut,Help,
About Recall Score (Help): no shortcut,Help,
Tempo Faster (Keyboard only): F,Quick nav,
Tempo Slower (Keyboard only): S,Quick nav,
Reset Tempo (Keyboard only): D,Quick nav,
Play Selected Notes (Keyboard only): Shift+Space,Quick nav,
