Section,Element,Meaning,Level,Dimension,Surfacing
Direction,words,"free text: tempo words, technique words, ""cresc.""","Stave, Part, Score",Point,"One note-list row per element, reading the text as written; category dynamics_words or tempo_words when the whole text matches the vocabulary allow-list, otherwise stave_text; region 5 row"
Direction,dynamics,"printed dynamic (p, f, sfz) as a direction",Note,Point,"Dynamic attribute of the notes at that offset; no marking row"
Direction,wedge,crescendo or diminuendo hairpin,"Stave, Part, Score",Length,"""Crescendo start"" / ""Crescendo end""; a point reading ""Crescendo"" or ""Diminuendo"" when start and stop resolve to one position or when unpartnered; category hairpins"
Direction,dashes,dashed continuation line,"Same as the words it extends",Length,"One length marking named by the words in the same <direction> (""cresc. start"" / ""cresc. end""); ""Dashed line"" when there are no words; category lines"
Direction,bracket,bracketed continuation line,"Same as the words it extends",Length,"As dashes; ""Bracket line"" when there are no words; category lines"
Direction,pedal,"sustain pedal: start, stop, change, sostenuto, resume",Part,"Length; change is a Point","""Pedal start"" / ""Pedal end"", ""Pedal change""; region 5 row; category pedal"
Direction,octave-shift,"8va, 8vb, 15ma, 15mb","Stave, Part, Score",Length,"""Octave shift 8va start"" / ""end""; region 5 row; category octave_shift; never transposes playback"
Direction,metronome,printed metronome mark,Score,Point,"Structural: ""Tempo change: 96"" row, region 5 row, change cue; category structural_changes"
Direction,segno,segno sign,Score,Point,"""Segno"" on the first event of its bar; category jump_instructions"
Direction,coda,coda sign,Score,Point,"""Coda"" on the first event of its bar; category jump_instructions"
Direction,rehearsal,"rehearsal mark A, 12",Score,Point,"""Rehearsal mark A"" snapped to the downbeat of its bar; category stave_text"
Direction,symbol,a SMuFL symbol as a direction,Score,Point,"Catch-all ""Direction: symbol""; category other_directions"
Direction,harp-pedals,harp pedal diagram,"Stave, Part, Score",Point,"Catch-all; category other_directions"
Direction,"damp, damp-all",harp or piano damping,"Stave, Part, Score",Point,"Catch-all; category other_directions"
Direction,eyeglasses,watch the conductor,"Part, Score",Point,"Catch-all; category other_directions"
Direction,string-mute,mute on or off,"Stave, Part, Score",Point,"Catch-all; category other_directions"
Direction,scordatura,retuning instruction,"Stave, Part, Score",Point,"Catch-all; category other_directions"
Direction,accordion-registration,accordion stop registration,"Stave, Part, Score",Point,"Catch-all; category other_directions"
Direction,principal-voice,Hauptstimme / Nebenstimme bracket,"Stave, Part",Length,"Catch-all point today; length is low priority"
Direction,staff-divide,divisi and unison marks,"Stave, Part",Point,"Catch-all; category other_directions"
Direction,percussion,percussion pictogram,"Stave, Part",Point,"Catch-all; category other_directions"
Direction,other-direction,explicit escape hatch,"Stave, Part, Score",Point,"""Direction: X""; category other_directions"
Barline,bar-style regular,ordinary barline,,,"No row; one short beep"
Barline,bar-style light-light,double barline,"Score when every part agrees, else Part",Point,"""Double barline""; two short beeps; category barlines"
Barline,bar-style light-heavy,final barline,"Score when every part agrees, else Part",Point,"No row and no sound on the last bar; elsewhere a row and one long lower beep; category barlines"
Barline,"bar-style heavy, heavy-light, heavy-heavy",emphatic or section-opening barline,"Score when every part agrees, else Part",Point,"Row; one long lower beep; category barlines"
Barline,"bar-style dotted, dashed",subdividing barline,"Score when every part agrees, else Part",Point,"Row; one short beep; category barlines"
Barline,"bar-style tick, short",mensurstrich barline,"Score when every part agrees, else Part",Point,"Row; one softer short beep; category barlines"
Barline,"repeat direction=""forward""",start repeat,"Score when every part agrees, else Part",Length start,"""Repeat start""; one long then two short; category repeats_endings"
Barline,"repeat direction=""backward""",end repeat,"Score when every part agrees, else Part",Length end,"""Repeat end""; two short then one long; category repeats_endings"
Barline,forward and backward at one barline,end and start together,"Score when every part agrees, else Part",Length end and start,"Both rows, end first; two short, one long, two short"
Barline,"repeat times=""N""",play N times,As its repeat,,"Region 5 text ""Repeat bars 1 to 8, play 3 times"""
Barline,repeat after-jump,repeat applies only after D.C. or D.S.,As its repeat,,"Affects playback"
Barline,ending,first and second time bars,"Score when every part agrees, else Part",Length,"""Ending 1 start"" / ""end""; one bare ""Ending 2"" when start and end are one event; category repeats_endings"
Barline,fermata,pause on the barline,Barline,Point,"Own timeline event at the end of the bar, position ""End of bar""; reads ""Fermata on barline""; sounds nothing; detail in region 4"
Barline,"segno, coda",sign written inside the barline,Barline,Point,"Barline event as fermata"
Barline,wavy-line,trill line crossing the barline,Barline,Length,"Low priority"
Sound,tempo,beats per minute from here,Score,Point,"Structural tempo change as metronome"
Sound,"dacapo, dalsegno",jump back,Score,Point,"""Da capo"" / ""Dal segno"" on the last event of its bar; drives playback; category jump_instructions"
Sound,"segno, coda",sign position,Score,Point,"As the direction forms"
Sound,tocoda,jump to the coda,Score,Point,"""To coda"" on the last event of its bar; category jump_instructions"
Sound,fine,end here,Score,Point,"""Fine"" on the last event of its bar; category jump_instructions"
Note,tied,tie start and stop,Note,,"Not surfaced; head note carries the summed duration; a continuation note carrying a marking is its own event"
Note,slur,slur start and stop,Note,,Attribute
Note,tuplet,tuplet (ratio from time-modification),Note,,Attribute
Note,"glissando, slide",glissando or slide,Note,,Attribute
Note,ornaments,"trill, turn, mordent and others",Note,,"Ornament attribute; label only, never played"
Note,articulations,"staccato, accent and others",Note,,Articulation attribute
Note,"breath-mark, caesura",breath or pause between notes,Note,,"Articulation attribute, read under <notations> and inside <articulations>"
Note,technical,"fret, string, fingering, pluck, other techniques",Note,,"Fret, string, fingering, pluck attributes; the rest in technique"
Note,dynamics,dynamic attached to the note,Note,,"Dynamic attribute; beats an offset-matched direction dynamic"
Note,fermata,pause on a note,"Note, plus Score or Part row",Point,"Fermata attribute in region 4; plus one score-level row when every part sounding at that event carries a fermata, otherwise one part-level row per part carrying it; category fermatas"
Note,"arpeggiate, non-arpeggiate",roll the chord or not,Note,,"Arpeggio attribute on chord notes; strum direction on a lone note"
Note,other-notation,escape hatch,Note,,Other notation attribute
Note,grace,grace note,Note,,"Rendered ""A grace B"", plus grace attribute"
Attributes,key,key signature,"Score when every part agrees, else Part",Point,"Structural: ""Key signature change: D major"" row, region 5, change cue; never at index 0"
Attributes,time,time signature,"Score when every part agrees, else Part",Point,"Structural: ""Time signature change: 3/4"" row, region 5, change cue; never at index 0"
Attributes,clef,mid-part clef change,"Stave, Part",Point,"""Clef change: bass""; category clef_changes"
Attributes,"measure-style multiple-rest, measure-repeat, beat-repeat, slash",bar-level notation style,"Stave, Part, Score",Point,"Row on the next event of that stave; category measure_styles"
Other,harmony,chord symbol and diagram,"Stave, Part",,"Synthetic Chords part; chord symbol and chord diagram attributes"
